cat,date,weight
haruki,2024-11-04,2,
haruki,2024-11-13,2.6875,
haruki,2024-11-17,2.875,
haruki,2024-11-24,3.1875,
haruki,2024-11-29,3.3125,
haruki,2024-12-13,3.875,
haruki,2024-12-27,4.85,
haruki,2025-01-03,5,
haruki,2025-01-07,5.0625,
haruki,2025-01-11,5.1875,
haruki,2025-01-13,5.25,
haruki,2025-01-17,5.625,
haruki,2025-01-20,5.75,
haruki,2025-01-24,5.8125,
haruki,2025-01-28,5.9375,
haruki,2025-02-01,6.1875,
haruki,2025-02-08,6.5
sullivan,2024-12-02,3.125,
sullivan,2024-12-07,3.0625,
sullivan,2024-12-13,3.5625,
sullivan,2024-12-17,3.75,
sullivan,2024-12-27,3.09,
sullivan,2025-01-03,3.3125,
sullivan,2025-01-07,3.8125,
sullivan,2025-01-11,3.8125,
sullivan,2025-01-13,4.1875,
sullivan,2025-01-17,4.3125,
sullivan,2025-01-20,4.5625,
sullivan,2025-01-24,4.75,
sullivan,2025-01-28,4.9375,
sullivan,2025-02-01,5.25,
sullivan,2025-02-08,5.6875,
haruki,2025-02-15,6.6875,
sullivan,2025-02-15,6.0625,
haruki,2025-02-21,6.9375,
sullivan,2025-02-21,6.3125,
haruki,2025-02-25,7,
sullivan,2025-02-25,6.5,
sullivan,2025-03-02,6.6875,
haruki,2025-03-02,7.125,
sullivan,2025-03-10,7,
haruki,2025-03-10,7.3125,
haruki,2025-03-16,7.5,
sullivan,2025-03-16,7.25,
sullivan,2025-03-26,7.875,
haruki,2025-03-26,7.9375,
sullivan,2025-03-30,7.9375,
haruki,2025-03-30,7.875,
sullivan,2025-04-10,8.1875,
haruki,2025-04-10,8,
sullivan,2025-04-20,8.625,
haruki,2025-04-20,8.1875,
haruki,2025-04-27,8.125,
sullivan,2025-04-27,8.5625,
sullivan,2025-05-07,8.9375,
haruki,2025-05-07,8.4375,
haruki,2025-05-17,8.5625,
sullivan,2025-05-17,9.5625,
